"corpus_string","Freq"
"occupied",5
"occupy",5
"older",5
"otherwise",5
"painfully",5
"particular",5
"passage",5
"paused",5
"permitted",5
"perplexed",5
"physical",5
"pieces",5
"pinched",5
"pitiful",5
"plague",5
"plain",5
"plainly",5
"plate",5
"pleases",5
"pointed",5
"poker",5
"preferred",5
"preserve",5
"pretended",5
"pretending",5
"proceeding",5
"properly",5
"punishment",5
"quitting",5
"rahm",5
"rayther",5
"reaching",5
"readily",5
"reappeared",5
"release",5
"remainder",5
"remark",5
"remedy",5
"reminded",5
"repeatedly",5
"resign",5
"respectable",5
"responded",5
"retained",5
"ridiculous",5
"roads",5
"rocking",5
"rode",5
"rousing",5
"row",5
"rude",5
"sank",5
"satan",5
"scornful",5
"scornfully",5
"search",5
"searched",5
"season",5
"sensitive",5
"separate",5
"serve",5
"sexton",5
"sharply",5
"shutting",5
"sickness",5
"sides",5
"silk",5
"simple",5
"sing",5
"singular",5
"slender",5
"slightest",5
"smart",5
"sneer",5
"sober",5
"somewhat",5
"source",5
"south",5
"species",5
"speedily",5
"spread",5
"start",5
"starving",5
"steady",5
"stern",5
"stick",5
"struggling",5
"subdued",5
"substitute",5
"succession",5
"sucking",5
"suffering",5
"suit",5
"sup",5
"support",5
"surrounded",5
"suspected",5
"suspense",5
"swells",5
"swept",5
"swung",5
"tempered",5
"terrible",5
"terrified",5
"thin",5
"threatening",5
"tiresome",5
"torment",5
"trash",5
"tricks",5
"troubles",5
"uncomfortable",5
"understood",5
"unfortunate",5
"useless",5
"usually",5
"utmost",5
"uttering",5
"value",5
"vex",5
"wakened",5
"washed",5
"waxed",5
"weapon",5
"weel",5
"whenever",5
"whisper",5
"wit",5
"wore",5
"worthy",5
"wrath",5
"written",5
"wronged",5
"yearning",5
"abandoned",4
"absolutely",4
"absurd",4
"accept",4
"accursed",4
"acted",4
"action",4
"admire",4
"affairs",4
"affections",4
"affirms",4
"ails",4
"ajar",4
"ale",4
"amazed",4
"amongst",4
"angels",4
"animated",4
"annihilated",4
"announce",4
"annoyance",4
"anticipated",4
"art",4
"asserted",4
"assured",4
"attack",4
"attempting",4
"attend",4
"awake",4
"awakened",4
"awhile",4
"basket",4
"behold",4
"bits",4
"blowing",4
"blows",4
"bog",4
"bold",4
"bolts",4
"borrowed",4
"box",4
"breathing",4
"bud",4
"bull",4
"cake",4
"calamity",4
"cap",4
"cared",4
"carved",4
"carving",4
"casement",4
"causes",4
"causeway",4
"cautious",4
"cellar",4
"chairs",4
"cheated",4
"checking",4
"cherished",4
"churchyard",4
"cinders",4
"civil",4
"claim",4
"clean",4
"clouded",4
"clown",4
"coloured",4
"communication",4
"compassion",4
"complaints",4
"condemned",4
"connected",4
"considerably",4
"considering",4
"consoled",4
"contact",4
"contrive",4
"conviction",4
"cordial",4
"corpse",4
"correctly",4
"cottage",4
"counselled",4
"cowardly",4
"curl",4
"curled",4
"cursed",4
"curtains",4
"cushion",4
"custom",4
"damp",4
"declared",4
"declined",4
"deeper",4
"deeply",4
"degrees",4
"deliver",4
"den",4
"denial",4
"describe",4
"deserved",4
"desirous",4
"despatched",4
"despised",4
"destroy",4
"difference",4
"dimly",4
"directed",4
"discerned",4
"discussing",4
"disguise",4
"distinct",4
"distinction",4
"distressed",4
"disturbance",4
"diversion",4
"divert",4
"divine",4
"doesn",4
"donned",4
"doomed",4
"doorway",4
"doubtless",4
"doubts",4
"dragging",4
"drank",4
"dreadfully",4
"drove",4
"drying",4
"dunce",4
"eagerness",4
"earnshaws",4
"education",4
"effort",4
"efforts",4
"ejaculation",4
"eleven",4
"embarrassed",4
"employment",4
"encouraged",4
"endeavours",4
"entertain",4
"envy",4
"erect",4
"error",4
"examination",4
"exception",4
"execute",4
"exhausted",4
"exist",4
"exit",4
"expecting",4
"expense",4
"exposed",4
"external",4
"extra",4
"false",4
"falsehoods",4
"fasten",4
"faster",4
"fate",4
"fearfully",4
"fears",4
"ferocious",4
"ferocity",4
"fields",4
"fifty",4
"filling",4
"finishing",4
"fists",4
"fix",4
"flakes",4
"flame",4
"flatter",4
"fling",4
"flogging",4
"flower",4
"flowers",4
"folded",4
"forgetting",4
"forgot",4
"foster",4
"frances",4
"friendly",4
"frowned",4
"fruit",4
"fulfil",4
"fully",4
"fur",4
"furniture",4
"gain",4
"gang",4
"gathering",4
"gay",4
"general",4
"getten",4
"gleam",4
"glow",4
"goa",4
"goan",4
"gratification",4
"gratified",4
"grip",4
"groaned",4
"gruel",4
"guardian",4
"guardianship",4
"gun",4
"gushed",4
"halt",4
"handed",4
"hang",4
"happier",4
"harvest",4
"hathecliff",4
"haughty",4
"hey",4
"hid",4
"hidden",4
"hither",4
"hook",4
"hoped",4
"hurriedly",4
"hurrying",4
"idiotcy",4
"imagination",4
"immense",4
"inarticulate",4
"incapable",4
"increased",4
"indifferent",4
"infernally",4
"injured",4
"injury",4
"inquiring",4
"inscription",4
"insensible",4
"intelligent",4
"intend",4
"intensity",4
"interested",4
"intimacy",4
"intimating",4
"intimation",4
"invitation",4
"involuntarily",4
"inward",4
"irritable",4
"irritation",4
"iver",4
"jumped",4
"kindled",4
"kindling",4
"kindly",4
"kissing",4
"knaw",4
"knelt",4
"laden",4
"lads",4
"landscape",4
"lashes",4
"lawyer",4
"lead",4
"leading",4
"leaf",4
"level",4
"liar",4
"limbs",4
"limits",4
"longing",4
"madness",4
"malevolence",4
"mark",4
"marks",4
"marrying",4
"meals",4
"measures",4
"meditation",4
"mellow",4
"method",4
"mild",4
"minded",4
"misfortune",4
"misty",4
"moaned",4
"mockery",4
"mood",4
"moral",4
"morn",4
"moroseness",4
"movements",4
"mud",4
"muscles",4
"mused",4
"musing",4
"mute",4
"named",4
"naturally",4
"neeght",4
"neglected",4
"neighbours",4
"nightmare",4
"noa",4
"nobbut",4
"nowhere",4
"nur",4
"nursed",4
"nursery",4
"nursing",4
"objected",4
"oblige",4
"observing",4
"occasioned",4
"opening",4
"oppen",4
"outer",4
"outright",4
"pack",4
"paid",4
"paltry",4
"pan",4
"parish",4
"paroxysm",4
"partook",4
"passionate",4
"passionately",4
"paying",4
"perpetual",4
"personal",4
"persons",4
"pertness",4
"perused",4
"picked",4
"pitied",4
"plead",4
"pleaded",4
"poorly",4
"positive",4
"prayers",4
"preparing",4
"press",4
"pressed",4
"previous",4
"previously",4
"prime",4
"produce",4
"progress",4
"prolonged",4
"prompted",4
"protracted",4
"provoking",4
"punish",4
"pursue",4
"quarrelling",4
"rambles",4
"rascal",4
"rattled",4
"reality",4
"recall",4
"recent",4
"reception",4
"recognise",4
"reflect",4
"regarded",4
"regions",4
"regular",4
"relieved",4
"relish",4
"render",4
"repeating",4
"repenting",4
"repetition",4
"require",4
"requires",4
"rescue",4
"resemble",4
"reserved",4
"resting",4
"restore",4
"resume",4
"retreat",4
"rewarded",4
"ringlets",4
"sadness",4
"saint",4
"salute",4
"scolding",4
"scorned",4
"scratched",4
"sea",4
"searching",4
"senseless",4
"sensible",4
"shifted",4
"shining",4
"shock",4
"shoot",4
"shunned",4
"sich",4
"sighs",4
"sign",4
"sin",4
"sincerely",4
"sixteen",4
"slept",4
"smiling",4
"smoking",4
"smothered",4
"sneaking",4
"soaked",4
"sobbing",4
"solace",4
"sole",4
"solemnly",4
"song",4
"sooner",4
"sorts",4
"sought",4
"spell",4
"spiteful",4
"splendid",4
"stables",4
"stammered",4
"starve",4
"starved",4
"statement",4
"steadily",4
"steal",4
"stealing",4
"sternly",4
"stiff",4
"stirring",4
"stooped",4
"stopping",4
"store",4
"stout",4
"stroking",4
"stronger",4
"stuff",4
"subjects",4
"subsequent",4
"succeeding",4
"successor",4
"sulky",4
"summon",4
"summut",4
"sunk",4
"superiority",4
"superstition",4
"sweetest",4
"tak",4
"takes",4
"tall",4
"tease",4
"temples",4
"temporary",4
"tempted",4
"tenants",4
"tender",4
"terribly",4
"thenceforth",4
"thirteen",4
"throw",4
"thursday",4
"tied",4
"timid",4
"touching",4
"tranquil",4
"trap",4
"travelling",4
"treachery",4
"treating",4
"triumph",4
"truly",4
"tumult",4
"tyrant",4
"unable",4
"uncertain",4
"unexpected",4
"union",4
"uproar",4
"ushered",4
"vainly",4
"vanity",4
"volumes",4
"wages",4
"wail",4
"waking",4
"wanting",4
"war",4
"wasted",4
"wayward",4
"wearisome",4
"weep",4
"west",4
"whelp",4
"wherever",4
"wilderness",4
"wildly",4
"wiped",4
"witnessed",4
"woke",4
"wondering",4
"wood",4
"worrying",4
"wound",4
"wrench",4
"wrote",4
"wrung",4
"yellow",4
"yelping",4
"abominable",3
"accents",3
"accusations",3
"aching",3
"actions",3
"addition",3
"adieu",3
"advances",3
"advantages",3
"advent",3
"advise",3
"afford",3
"afresh",3
"agean",3
"ailing",3
"alas",3
"alert",3
"allas",3
"ally",3
"alteration",3
"amazement",3
"amid",3
"anew",3
"ankle",3
"annihilate",3
"announcing",3
"annoyed",3
"anticipating",3
"anyone",3
"apology",3
"apparition",3
"appeal",3
"appealing",3
"appetite",3
"apple",3
"appointed",3
"appreciate",3
"arch",3
"argue",3
"arising",3
"arrangement",3
"articles",3
"ascending",3
"assist",3
"assuming",3
"atmosphere",3
"attached",3
"attachments",3
"attended",3
"attorney",3
"audibly",3
"authority",3
"autumn",3
"averted",3
"badly",3
"bairn",3
"ballad",3
"banister",3
"beck",3
"bedroom",3
"befitting",3
"beggar",3
"begun",3
"behalf",3
"beholding",3
"bestow",3
"bestowing",3
"birth",3
"bitten",3
"blackened",3
"blackness",3
"blamed",3
"blanched",3
"blast",3
"blaze",3
"bleeding",3
"bless",3
"blessed",3
"blew",3
"block",3
"bloodless",3
"bloom",3
"blushed",3
"boards",3
"boldly",3
"bottle",3
"bowl",3
"boys",3
"breathe",3
"bridle",3
"brilliant",3
"briskly",3
"brooding",3
"brutal",3
"buy",3
"c",3
"calculate",3
"calmly",3
"candles",3
"canisters",3
"cant",3
"carefully",3
"carelessness",3
"carpeted",3
"casting",3
"cats",3
"cattle",3
"causing",3
"cave",3
"chain",3
"charitable",3
"charlie",3
"charming",3
"chase",3
"chatter",3
"chattered",3
"chattering",3
"check",3
"chest",3
"chewing",3
"childhood",3
"choking",3
"circle",3
"civility",3
"clatter",3
"cleared",3
"clearly",3
"cloth",3
"coachman",3
"comfortably",3
"comforted",3
"comforts",3
"commendations",3
"compare",3
"compared",3
"complain",3
"complexion",3
"compliance",3
"comprehended",3
"comprehending",3
"conceive",3
"concern",3
"concerns",3
"concluding",3
"confidence",3
"conjecture",3
"connection",3
"consciousness",3
"consented",3
"consequently",3
"contained",3
"containing",3
"continual",3
"converted",3
"convey",3
"conveyed",3
"coolly",3
"coom",3
"correct",3
"couch",3
"covet",3
"cow",3
"cowardice",3
"creatures",3
"credit",3
"creep",3
"creeping",3
"cries",3
"crisis",3
"crooked",3
"crossly",3
"crushed",3
"cure",3
"cured",3
"curiously",3
"currant",3
"curse",3
"curtain",3
"dainties",3
"dainty",3
"damnable",3
"daring",3
"dashing",3
"date",3
"decease",3
"deceive",3
"decided",3
"deeds",3
"defer",3
"degrade",3
"degrading",3
"degree",3
"delayed",3
"delusion",3
"demonstrations",3
"deny",3
"depressed",3
"deprived",3
"depth",3
"deserves",3
"design",3
"designs",3
"despondency",3
"detain",3
"detest",3
"detestable",3
"devoid",3
"devotion",3
"difficult",3
"dig",3
"dignity",3
"directing",3
"disappeared",3
"discerning",3
"discovering",3
"disgusted",3
"dishes",3
"disliked",3
"dismiss",3
"dismounted",3
"disorder",3
"disregarding",3
"distinctly",3
"distinguish",3
"distorted",3
"dived",3
"dividing",3
"doleful",3
"doubting",3
"dragged",3
"drawn",3
"dreaded",3
"dripping",3
"driving",3
"dropping",3
"drops",3
"drowned",3
"dull",3
"dunnut",3
"dy",3
"earliest",3
"earn",3
"eaten",3
"effectually",3
"elf",3
"employments",3
"emptied",3
"encountering",3
"ends",3
"endurance",3
"eneugh",3
"enraged",3
"entertainment",3
"envious",3
"escaping",3
"escort",3
"established",3
"estate",3
"eternal",3
"exaggerated",3
"example",3
"excepting",3
"exchange",3
"exclamation",3
"excused",3
"execution",3
"exhibit",3
"exhibition",3
"exile",3
"expectations",3
"expedient",3
"explaining",3
"expostulated",3
"expostulations",3
"expressions",3
"exquisite",3
"exterior",3
"eyed",3
"faculties",3
"faded",3
"failed",3
"falsehood",3
"fancying",3
"farmhouse",3
"favourites",3
"feed",3
"feels",3
"fence",3
"fie",3
"field",3
"fiends",3
"fifteen",3
"firs",3
"fits",3
"fixture",3
"flaxen",3
"flight",3
"flourishing",3
"flow",3
"fly",3
"foes",3
"fold",3
"foliage",3
"folk",3
"folks",3
"foolishly",3
"footsteps",3
"forbid",3
"forbidden",3
"forms",3
"fortnight",3
"forty",3
"french",3
"frequent",3
"fret",3
"fretful",3
"friday",3
"fright",3
"frosty",3
"frown",3
"fun",3
"furiously",3
"gait",3
"galloped",3
"gaping",3
"gaunt",3
"generous",3
"genuine",3
"ghastly",3
"ghost",3
"girlish",3
"gleamed",3
"glen",3
"gloomy",3
"gooseberry",3
"grace",3
"graceful",3
"grasped",3
"grate",3
"gratitude",3
"graves",3
"greedy",3
"greeting",3
"grimly",3
"grin",3
"grinding",3
"grows",3
"grumbled",3
"guard",3
"habitual",3
"hae",3
"haggard",3
"hahse",3
"happiest",3
"harmless",3
"harshness",3
"hasn",3
"hastening",3
"headstrong",3
"heap",3
"heartless",3
"heaved",3
"heaving",3
"hedge",3
"height",3
"helped",3
"hermit",3
"hero",3
"hesitate",3
"hesitated",3
"hideous",3
"higher",3
"hill",3
"hitherto",3
"hoile",3
"holiday",3
"homely",3
"honest",3
"horrid",3
"horseback",3
"hound",3
"humming",3
"humoured",3
"humouring",3
"hunger",3
"hurled",3
"hypocrisy",3
"hypocrite",3
"idleness",3
"idol",3
"implored",3
"impracticable",3
"impressions",3
"increasing",3
"indifference",3
"induced",3
"indulgence",3
"indulgent",3
"infant",3
"inflict",3
"informant",3
"injuries",3
"injustice",3
"inquiries",3
"inquiry",3
"insane",3
"insolent",3
"instance",3
"instinct",3
"instinctively",3
"instrument",3
"insulted",3
"intellect",3
"intending",3
"interfere",3
"introduce",3
"introduction",3
"intruder",3
"invent",3
"iron",3
"irresistible",3
"jailor",3
"jaws",3
"jug",3
"july",3
"june",3
"juno",3
"kennel",3
"keys",3
"killing",3
"kin",3
"king",3
"kirkyard",3
"kneeling",3
"knitting",3
"knuckles",3
"ladder",3
"lands",3
"languid",3
"lasted",3
"lavished",3
"lean",3
"learning",3
"lecture",3
"legal",3
"legs",3
"lend",3
"lifting",3
"lighter",3
"lights",3
"likes",3
"limited",3
"liverpool",3
"livid",3
"locality",3
"locking",3
"lodged",3
"luckless",3
"lucky",3
"lugs",3
"lull",3
"lurking",3
"maddening",3
"magistrate",3
"maids",3
"maintained",3
"maker",3
"malignant",3
"malignity",3
"manifested",3
"marked",3
"marred",3
"marshes",3
"marvellously",3
"mate",3
"material",3
"measured",3
"meditated",3
"meditating",3
"meets",3
"melted",3
"menaced",3
"merrily",3
"merriment",3
"messenger",3
"michael",3
"midst",3
"mim",3
"minister",3
"mirror",3
"mirth",3
"mischievous",3
"miseries",3
"misgivings",3
"missed",3
"mist",3
"mitch",3
"mock",3
"mode",3
"model",3
"monday",3
"monkey",3
"monster",3
"moonlight",3
"moreover",3
"morsel",3
"mould",3
"mount",3
"mourner",3
"mourning",3
"mouse",3
"murmur",3
"music",3
"nab",3
"nails",3
"names",3
"nell",3
"nicely",3
"ninety",3
"nip",3
"nob",3
"nodded",3
"nodding",3
"nook",3
"notes",3
"nought",3
"numerous",3
"oath",3
"objection",3
"obstinately",3
"obviate",3
"occasions",3
"occupants",3
"october",3
"odious",3
"offence",3
"offended",3
"offending",3
"operation",3
"oppression",3
"orange",3
"ordering",3
"outstripped",3
"overcame",3
"overheard",3
"owning",3
"painted",3
"paleness",3
"panelled",3
"panes",3
"paradise",3
"parents",3
"partiality",3
"parts",3
"party",3
"patiently",3
"peep",3
"performing",3
"peril",3
"perished",3
"permit",3
"perplexity",3
"perseverance",3
"persist",3
"petition",3
"pewter",3
"phoenix",3
"physiognomy",3
"piled",3
"pint",3
"pious",3
"pistol",3
"pistols",3
"pit",3
"pitcher",3
"playmate",3
"playthings",3
"ploughboy",3
"pointers",3
"poison",3
"politeness",3
"portrait",3
"possess",3
"pot",3
"potent",3
"pouring",3
"powerful",3
"prayed",3
"praying",3
"predicament",3
"preparations",3
"presented",3
"presentiment",3
"presume",3
"presumptuous",3
"printed",3
"prison",3
"prisoner",3
"privilege",3
"probable",3
"project",3
"promises",3
"proof",3
"prophecy",3
"protestations",3
"proximity",3
"pulse",3
"puny",3
"pursuing",3
"qualities",3
"quarrelled",3
"queen",3
"questioning",3
"quivering",3
"race",3
"racked",3
"radiant",3
"rages",3
"rare",3
"rational",3
"raving",3
"reared",3
"recalling",3
"receiving",3
"reckon",3
"reclined",3
"recoiled",3
"recollected",3
"recollection",3
"reconciled",3
"reflections",3
"refreshment",3
"refuge",3
"related",3
"relating",3
"released",3
"relief",3
"reluctance",3
"remaining",3
"remains",3
"removing",3
"renewed",3
"rent",3
"report",3
"reported",3
"represent",3
"repulsive",3
"reputation",3
"required",3
"resembled",3
"resembling",3
"resignation",3
"resist",3
"resource",3
"respected",3
"restraint",3
"resuming",3
"retire",3
"retract",3
"retreated",3
"ring",3
"ringing",3
"robert",3
"rooms",3
"roots",3
"ruddy",3
"rudeness",3
"rug",3
"runs",3
"rush",3
"rustic",3
"sabbath",3
"sadder",3
"saddle",3
"salvation",3
"sanguine",3
"satisfy",3
"sauciness",3
"sauntered",3
"savagely",3
"scouring",3
"scowl",3
"scream",3
"seasons",3
"secrets",3
"seed",3
"seize",3
"select",3
"selected",3
"sending",3
"sensation",3
"sentences",3
"sentiments",3
"sentinel",3
"sequel",3
"severe",3
"sewing",3
"shadows",3
"shameful",3
"shan",3
"shed",3
"sheltered",3
"shift",3
"shockingly",3
"shovel",3
"showers",3
"shows",3
"shrinking",3
"shrunk",3
"shuddering",3
"shun",3
"shutters",3
"sickly",3
"sighing",3
"sill",3
"sincerity",3
"sink",3
"sinner",3
"sixty",3
"skylight",3
"slap",3
"sleeping",3
"slope",3
"slut",3
"smiles",3
"sob",3
"sobs",3
"softly",3
"soil",3
"solemn",3
"soliloquised",3
"soothed",3
"sounded",3
"sovereign",3
"spade",3
"sparkling",3
"special",3
"spectacle",3
"spectre",3
"spoiled",3
"square",3
"squeeze",3
"sticking",3
"stormy",3
"straining",3
"strangely",3
"strangle",3
"stray",3
"streaming",3
"stretch",3
"string",3
"studied",3
"stunted",3
"subsided",3
"sufficiently",3
"suffocating",3
"sugar",3
"suited",3
"superior",3
"supported",3
"swearing",3
"sweeping",3
"sweetly",3
"sympathise",3
"tables",3
"tail",3
"taller",3
"teased",3
"tells",3
"tended",3
"tenderness",3
"term",3
"terms",3
"thankful",3
"thaw",3
"theirs",3
"thence",3
"ther",3
"threats",3
"thrice",3
"throttler",3
"throughout",3
"throwing",3
"thrusting",3
"tidy",3
"tiresomely",3
"title",3
"tones",3
"touches",3
"town",3
"train",3
"traitor",3
"treasure",3
"trifle",3
"trifles",3
"trot",3
"trotted",3
"trusted",3
"tucked",3
"tumbler",3
"tune",3
"turns",3
"twisted",3
"undertake",3
"uneasy",3
"unexpectedly",3
"unfeeling",3
"unfit",3
"unnecessary",3
"unsociable",3
"untruth",3
"unwillingly",3
"unworthy",3
"utterly",3
"vague",3
"various",3
"vehemence",3
"vehemently",3
"vessel",3
"vigorous",3
"vigour",3
"visitation",3
"visiting",3
"visitor",3
"volume",3
"wailed",3
"waistcoat",3
"walks",3
"wander",3
"warmed",3
"waste",3
"wearying",3
"wedding",3
"whear",3
"whet",3
"whip",3
"whiskers",3
"wholly",3
"wick",3
"win",3
"winds",3
"wink",3
"winking",3
"wiser",3
"withered",3
"wives",3
"wondrous",3
"wooden",3
"woods",3
"working",3
"wring",3
"wrist",3
"wrought",3
"abhorred",2
"abide",2
"abject",2
"abroad",2
"absolute",2
"abstain",2
"abstracted",2
"abstracting",2
"absurdity",2
"abyss",2
"accent",2
"accommodations",2
"ached",2
"aches",2
"achieved",2
"acknowledged",2
"acknowledgment",2
"acquaintances",2
"acquiesced",2
"acquire",2
"acting",2
"acts",2
"actual",2
"adding",2
"address",2
"adjective",2
"administered",2
"admired",2
"advance",2
"advancing",2
"adventure",2
"affair",2
"affectations",2
"affectionate",2
"affirm",2
"afore",2
"afternoons",2
"aged",2
"ages",2
"aggravate",2
"aghast",2
"agreement",2
"aha",2
"aiding",2
"aim",2
"aimed",2
"akin",2
"alighted",2
"alliance",2
"allus",2
"alter",2
"amang",2
"ambition",2
"amends",2
"amiss",2
"amused",2
"amusements",2
"amuses",2
"amusing",2
"ancestors",2
"anguished",2
"anniversary",2
"announcement",2
"annoyances",2
"anon",2
"anticipate",2
"anticipation",2
"anticipations",2
"apathetic",2
"apathy",2
"appalled",2
"appalling",2
"apparent",2
"appears",2
"appellation",2
"apples",2
"appropriate",2
"approve",2
"april",2
"ardent",2
"argument",2
"army",2
"arose",2
"arranged",2
"arrangements",2
"arrest",2
"arresting",2
"article",2
"ascended",2
"ascent",2
"ascribed",2
"assault",2
"assert",2
"assertions",2
"association",2
"assurance",2
"athletic",2
"atrocious",2
"attendant",2
"attired",2
"attract",2
"attraction",2
"audible",2
"august",2
"avail",2
"aw",2
"await",2
"awaited",2
"awaiting",2
"awe",2
"awkward",2
"awkwardness",2
"b",2
"bang",2
"banishment",2
"banks",2
"barely",2
"bark",2
"barred",2
"barrier",2
"bars",2
"base",2
"beautifully",2
"beds",2
"beforehand",2
"begins",2
"beguiling",2
"bellows",2
"belonged",2
"belonging",2
"bemoaned",2
"betray",2
"betrayal",2
"big",2
"bind",2
"bitch",2
"bitterness",2
"blackguard",2
"blacksmith",2
"blade",2
"bliss",2
"blotted",2
"blubbered",2
"blunders",2
"blushing",2
"boasted",2
"boath",2
"boiling",2
"bones",2
"bonniest",2
"boor",2
"bordered",2
"bother",2
"bothom",2
"bough",2
"bought",2
"bounded",2
"bounding",2
"bounds",2
"bout",2
"bow",2
"bowed",2
"brace",2
"brains",2
"branch",2
"brat",2
"breadth",2
"breed",2
"breeze",2
"brightened",2
"brightening",2
"broad",2
"brood",2
"brooded",2
"brooks",2
"bruised",2
"brush",2
"brutally",2
"build",2
"burned",2
"bursting",2
"bury",2
"bustled",2
"cakes",2
"calculated",2
"calf",2
"calmer",2
"candy",2
"canine",2
"cannut",2
"capacity",2
"capital",2
"caprices",2
"carelessly",2
"caress",2
"carols",2
"carpet",2
"carrying",2
"cart",2
"cash",2
"castaway",2
"catastrophe",2
"centre",2
"centred",2
"ceremony",2
"chafing",2
"chains",2
"cham",2
"chambers",2
"changeling",2
"changes",2
"chap",2
"chapters",2
"characters",2
"charged",2
"charm",2
"cheerfully",2
"cheerless",2
"cherish",2
"chin",2
"chit",2
"choked",2
"christened",2
"chubby",2
"claimed",2
"clasped",2
"clasping",2
"class",2
"clergyman",2
"clever",2
"click",2
"closet",2
"closing",2
"cloudy",2
"clutch",2
"coaxing",2
"coffee",2
"coincide",2
"colder",2
"coldness",2
"collect",2
"collecting",2
"college",2
"colony",2
"colossal",2
"colours",2
"colt",2
"combat",2
"commanding",2
"commencing",2
"comment",2
"commentary",2
"communicated",2
"companionship",2
"comparison",2
"compelling",2
"comply",2
"complying",2
"composure",2
"comprehension",2
"compulsion",2
"compunction",2
"concealment",2
"conceit",2
"conceited",2
"conclusions",2
"conducted",2
"confession",2
"confident",2
"confidently",2
"confinement",2
"confound",2
"confused",2
"congregation",2
"conjectures",2
"conjuring",2
"consternation",2
"consumed",2
"consumption",2
"contemplating",2
"contemptible",2
"contemptuously",2
"contrast",2
"contribute",2
"convalescence",2
"conveying",2
"convulsed",2
"convulsions",2
"copious",2
"correcting",2
"correspondence",2
"corrugated",2
"coughed",2
"coughing",2
"count",2
"counting",2
"courtesy",2
"courting",2
"cousins",2
"coveting",2
"covetousness",2
"cows",2
"craving",2
"creation",2
"critical",2
"crocuses",2
"crossing",2
"cruelly",2
"cruelty",2
"cunning",2
"cupboard",2
"curling",2
"custody",2
"cutting",2
"dairy",2
"damaged",2
"damnably",2
"damnation",2
"dangerously",2
"darkened",2
"darr",2
"dart",2
"dash",2
"deadly",2
"dearer",2
"debt",2
"decay",2
"deceived",2
"decently",2
"decision",2
"decisively",2
"declining",2
"defects",2
"defend",2
"deficient",2
"defy",2
"defying",2
"delightfully",2
"delirious",2
"delirium",2
"deliverance",2
"deluded",2
"demolish",2
"denied",2
"denominated",2
"deposited",2
"depths",2
"derision",2
"descend",2
"descent",2
"designing",2
"desires",2
"desolation",2
"despairingly",2
"desperately",2
"desperation",2
"destiny",2
"destruction",2
"detached",2
"deterioration",2
"determine",2
"detestably",2
"detestation",2
"detested",2
"detests",2
"devilish",2
"devour",2
"differently",2
"dignified",2
"dilating",2
"din",2
"dingy",2
"disagreement",2
"disappoint",2
"disapproved",2
"discontent",2
"discussed",2
"discussion",2
"disengage",2
"disgrace",2
"disgraceful",2
"dismissed",2
"dismount",2
"disobedience",2
"disobey",2
"dispel",2
"displayed",2
"disposed",2
"disputing",2
"disregard",2
"distant",2
"distasteful",2
"distinguishable",2
"distraction",2
"distresses",2
"disturbing",2
"diverted",2
"diverting",2
"doggedly",2
"doll",2
"domestic",2
"domineering",2
"doted",2
"doubted",2
"doubtfully",2
"dove",2
"downright",2
"dozed",2
"drag",2
"drapery",2
"drawled",2
"dreamily",2
"dreamy",2
"dree",2
"dressing",2
"dried",2
"drifts",2
"drowsily",2
"duck",2
"dug",2
"dusky",2
"earnestness",2
"earthly",2
"echoed",2
"ecstasy",2
"edged",2
"eea",2
"eighty",2
"elastic",2
"elbow",2
"elderly",2
"elegant",2
"elevated",2
"elevation",2
"eloquence",2
"eloquently",2
"elsewhere",2
"embarrassment",2
"embers",2
"employer",2
"employing",2
"en",2
"enabled",2
"encouraging",2
"endeavour",2
"enduring",2
"energetically",2
"energy",2
"engage",2
"english",2
"ensued",2
"entertained",2
"entertaining",2
"entice",2
"entreaty",2
"epistle",2
"epistles",2
"equanimity",2
"escorted",2
"essay",2
"establish",2
"establishment",2
"events",2
"evidence",2
"evince",2
"evincing",2
"exact",2
"exasperate",2
"excessive",2
"exchanged",2
"excitement",2
"exciting",2
"exclaim",2
"exclude",2
"execrations",2
"exercise",2
"exerting",2
"exhaustion",2
"exhibited",2
"expectation",2
"explanations",2
"explosion",2
"exposing",2
"extended",2
"extent",2
"extinguishing",2
"extract",2
"extreme",2
"extremes",2
"exultation",2
"eyeing",2
"faced",2
"fading",2
"fahl",2
"fail",2
"fainted",2
"falls",2
"fancies",2
"fanciful",2
"fanny",2
"farmer",2
"farming",2
"farthing",2
"fasted",2
"fasting",2
"fathur",2
"favoured",2
"feathers",2
"feeding",2
"fetched",2
"feverish",2
"fiddle",2
"fidgeting",2
"fiendish",2
"fiercely",2
"fiercer",2
"fiery",2
"figures",2
"filial",2
"finest",2
"firm",2
"flames",2
"flashing",2
"flattering",2
"flaying",2
"flee",2
"flighty",2
"flit",2
"flogged",2
"flowed",2
"flurried",2
"followers",2
"follows",2
"fonder",2
"fondest",2
"fondling",2
"footstep",2
"forcing",2
"forgiven",2
"forgiveness",2
"fork",2
"forming",2
"forsake",2
"forwarded",2
"forwards",2
"fought",2
"foul",2
"founded",2
"fourteen",2
"fragments",2
"fragrance",2
"framed",2
"frank",2
"frankly",2
"freely",2
"friendless",2
"friendship",2
"frivolous",2
"frough",2
"frowning",2
"fulfilling",2
"funny",2
"furnished",2
"g",2
"gaily",2
"gall",2
"gallop",2
"galloping",2
"gallows",2
"gap",2
"gardeners",2
"gasping",2
"generously",2
"genial",2
"genius",2
"gentleness",2
"ghostly",2
"gie",2
